"filename", "language", "Python", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\__init__.py", "Python", 18, 0, 0, 0, 14, 32
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\auth.py", "Python", 132, 0, 0, 11, 41, 184
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\compare_vehicles.py", "Python", 40, 0, 0, 0, 14, 54
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\news.py", "Python", 76, 0, 0, 8, 18, 102
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\search.py", "Python", 57, 0, 0, 0, 10, 67
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\static\scripts.js", "JavaScript", 0, 0, 75, 5, 11, 91
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\comparevehicle.html", "HTML", 0, 147, 0, 4, 8, 159
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\login.html", "HTML", 0, 59, 0, 3, 3, 65
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\page.html", "HTML", 0, 260, 0, 8, 14, 282
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\profile.html", "HTML", 0, 127, 0, 5, 10, 142
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\registration.html", "HTML", 0, 110, 0, 3, 12, 125
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\specvehicle.html", "HTML", 0, 170, 0, 8, 13, 191
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\user_profiles.py", "Python", 45, 0, 0, 3, 21, 69
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\vehicles.py", "Python", 200, 0, 0, 12, 59, 271
"Total", "-", 568, 873, 75, 70, 248, 1834
