"filename", "language", "HTML", "Python", "JavaScript", "comment", "blank", "total"
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\__init__.py", "Python", 0, 18, 0, 0, 14, 32
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\auth.py", "Python", 0, 144, 0, 11, 43, 198
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\compare_vehicles.py", "Python", 0, 40, 0, 0, 14, 54
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\news.py", "Python", 0, 76, 0, 8, 18, 102
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\search.py", "Python", 0, 57, 0, 0, 10, 67
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\static\scripts.js", "JavaScript", 0, 0, 75, 5, 11, 91
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\comparevehicle.html", "HTML", 147, 0, 0, 4, 8, 159
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\login.html", "HTML", 59, 0, 0, 3, 3, 65
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\page.html", "HTML", 260, 0, 0, 8, 14, 282
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\profile.html", "HTML", 127, 0, 0, 5, 10, 142
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\registration.html", "HTML", 110, 0, 0, 3, 12, 125
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\specvehicle.html", "HTML", 170, 0, 0, 8, 13, 191
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\user_profiles.py", "Python", 0, 45, 0, 3, 21, 69
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\vehicles.py", "Python", 0, 200, 0, 12, 59, 271
"Total", "-", 873, 580, 75, 70, 250, 1848
